+COPN: "28602","Vodafone Turkiye"
+COPN: "28603","AVEA"
+COPN: "28801","Foroya Tele"
+COPN: "28802","VODAFONE FO"
+COPN: "29001","TELE Greenland"
+COPN: "29340","A1 SI"
+COPN: "29341","MOBITEL"
+COPN: "29364","T-2"
+COPN: "29370","TELEMACH"
+COPN: "29401","Telekom MK"
+COPN: "29403","A1 MK"
+COPN: "29501","SwisscomFL"
+COPN: "29502","Salt.li"
+COPN: "29505","FL1"
+COPN: "29577","LI TANGO"
+COPN: "29701","Telenor"
+COPN: "29702","Telekom.me"
+COPN: "29703","MTEL"
+COPN: "30264","Bell"
+COPN: "30268","CANST"
+COPN: "30286","TELUS"
+COPN: "302130","Xplore"
+COPN: "302220","TELUS"
+COPN: "302270","Eastlink"
+COPN: "302340","Execulink Telecom"
+COPN: "302350","CANFN"
+COPN: "302370","Fido"
+COPN: "302380","KNET"
+COPN: "302480","SSi"
+COPN: "302490","Freedom"
+COPN: "302500","Videotron"
+COPN: "302520","Videotron"
+COPN: "302610","Bell"
+COPN: "302620","Ice Wireless Inc"
+COPN: "302720","Rogers Wireless"
+COPN: "302780","SaskTel"
+COPN: "302880","FastRoam"
+COPN: "302940","Wightman"
+COPN: "30801","SPM AMERIS"
+COPN: "310000","NEP Wireless"
+COPN: "310002","NEP Wireless"
+COPN: "310009","NEP Wireless"
+COPN: "310020","US - Union Telephone"
+COPN: "310026","T-Mobile"
+COPN: "310030","AT&T"
+COPN: "310031","T-Mobile"
+COPN: "310032","IT&E"
+COPN: "310040","Cellular One"
+COPN: "310046","USA SIMMETRY"
+COPN: "310050","GCI"
+COPN: "31058","Inland Cellular"
+COPN: "310070","AT&T"
+COPN: "310077","Iowa Wireless US"
+COPN: "310090","AT&T"
+COPN: "310110","IT&E"
+COPN: "310120","Sprint"
+COPN: "310140","GTA"
+COPN: "310150","AT&T"
+COPN: "310160","T-Mobile"
+COPN: "310170","AT&T"
+COPN: "310180","West Central Wireless"
+COPN: "310190","USA Dutch Harbor"
+COPN: "310200","T-Mobile"
+COPN: "310210","T-Mobile"
+COPN: "310220","T-Mobile"
+COPN: "310230","T-Mobile"
+COPN: "310240","T-Mobile"
+COPN: "310250","T-Mobile"
+COPN: "310260","T-Mobile"
+COPN: "310270","T-Mobile"
+COPN: "310280","AT&T"
+COPN: "310300","BigSkyUS"
+COPN: "310310","T-Mobile"
+COPN: "310320","USA - CellularOne"
+COPN: "310330","Cellular One"
+COPN: "310340","Limitless Mobile"
+COPN: "310350","Carolina Phone"
+COPN: "310370","DOCOMO PACIFIC"
+COPN: "310380","AT&T"
+COPN: "310410","AT&T"
+COPN: "310450","Cell One of NE Colorado"
+COPN: "310460","USA1L"
+COPN: "310470","DOCOMO PACIFIC"
+COPN: "310490","T-Mobile"
+COPN: "310530","Iowa Wireless USA"
+COPN: "310560","AT&T"
+COPN: "310570","Cell One"
+COPN: "310610","Epic Touch"
+COPN: "310630","USA AmeriLink"
+COPN: "310660","T-Mobile"
+COPN: "310670","Wireless 2000 PCS"
+COPN: "310680","AT&T"
+COPN: "310690","Limitless Mobile"
+COPN: "310700","USABIGFOOT"
+COPN: "310730","U.S.Cellular"
+COPN: "310740","USA OTZ"
+COPN: "310760","PTSI"
+COPN: "310770","Iowa Wireless USA"
+COPN: "310780","AirLink PCS"
+COPN: "310790","Pinpoint"
+COPN: "310800","T-Mobile"
+COPN: "310840","telna Mobile"
+COPN: "310900","Texas Cellular"
+COPN: "310950","USA XIT Wireless"
+COPN: "310980","AT&T"
+COPN: "310990","Worldcall"
+COPN: "311000","USA Mid-Tex Cellular  Lt"
+COPN: "31101","Wilkes USA"
+COPN: "31105","Wilkes USA"
+COPN: "311030","Indigo"
+COPN: "311040","USA - Commnet"
+COPN: "31170","USAEC"
+COPN: "31173","USA Proximiti"
+COPN: "31180","Pine Cellular"
+COPN: "311110","High Plains"
+COPN: "311130","Cell One Amarillo"
+COPN: "311140","Sprocket"
+COPN: "311170","PetroCom"
+COPN: "311170","Tampnet"
+COPN: "311180","AT&T"
+COPN: "311190","USAC1ECI"
+COPN: "311210","FARMERS"
+COPN: "311230","C Spire"
+COPN: "311240","USACWCI"
+COPN: "311250","USA i CAN"
+COPN: "311260","SLO Cellular"
+COPN: "311270","Verizon"
+COPN: "311310","Lamar Cellular"
+COPN: "311311","USANCW"
+COPN: "311360","Stelera Wireless"
+COPN: "311370","GCI"
+COPN: "311480","Verizon"
+COPN: "311530","USANW"
+COPN: "311580","U.S.Cellular"
+COPN: "311600","Limitless Mobile"
+COPN: "311630","C Spire"
+COPN: "311660","Metro PCS"
+COPN: "311710","Northeast Wireless"
+COPN: "311740","TCI"
+COPN: "311810","Bluegrass Wireless"
+COPN: "311990","VTW US"
+COPN: "312180","Limitless Mobile"
+COPN: "312260","USACL"
+COPN: "312280","Pioneer"
+COPN: "312290","Strata Networks USA"
+COPN: "312420","Nex-Tech Wireless USA"
+COPN: "312480","Nemont"
+COPN: "312630","NetGenuity"
+COPN: "312720","Southern Linc"
+COPN: "312870","GigSky"
+COPN: "313070","MNSHub"
+COPN: "313100","FirstNet"
+COPN: "313380","OptimERA"
+COPN: "330110","PR Claro"
+COPN: "330120","Open Mob PRI"
+COPN: "332011","Blue Sky"
+COPN: "334003","Movistar"
+COPN: "334020","TELCEL"
+COPN: "334050","AT&T"
+COPN: "334070","AT&T"
+COPN: "33490","AT&T"
+COPN: "33850","Digicel"
+COPN: "33870","CLARO"
+COPN: "338180","FLOW"
